S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate
25,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
26,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
27,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
28,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
29,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
30,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
31,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
32,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
33,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
34,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
35,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
36,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
37,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
38,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
39,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
40,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
41,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
42,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
43,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
44,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
45,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
46,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
47,Punjab,AMRITSAR,Rabi       ,low,6.2,90,15,Hot-dry
48,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
49,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
50,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
51,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
52,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
53,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
54,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
55,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
56,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
57,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
58,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
59,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
60,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
61,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
62,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
63,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
64,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
65,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
66,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
67,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
68,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
69,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
70,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
71,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
72,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
73,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
74,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
75,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
76,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
77,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
78,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
79,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
80,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
81,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
82,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
83,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
84,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
85,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
86,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
87,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
88,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
89,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
90,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
91,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
92,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
93,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
94,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
95,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
96,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
97,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
98,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
99,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
100,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
101,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
102,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
103,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
104,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
105,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
106,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
107,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
108,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
109,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
110,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
111,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
112,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
113,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
114,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
115,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
116,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
117,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
118,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
119,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
120,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
121,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
122,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
123,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
124,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
125,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
126,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
127,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
128,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
129,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
130,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
131,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
132,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
133,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
134,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
135,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
136,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
137,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
138,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
139,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
140,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
141,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
142,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
143,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
144,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
145,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
146,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
147,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
148,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
149,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
150,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
151,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
152,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
153,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
154,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
155,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
156,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
157,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
158,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
159,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
160,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
161,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
162,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
163,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
164,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
165,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
166,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
167,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
168,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
169,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
170,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
171,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
172,Punjab,AMRITSAR,Whole Year ,low,6.5,90,15,Hot-dry
173,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
174,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
175,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
176,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
177,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
178,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
179,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
180,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
181,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
182,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
183,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
184,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
185,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
186,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
187,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
188,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
189,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
190,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
191,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
192,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
193,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
194,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
195,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
196,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
197,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
198,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
199,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
200,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
201,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
202,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
203,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
204,Punjab,BARNALA,Kharif     ,low,6.5,90,15,Hot-dry
205,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
206,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
207,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
208,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
209,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
210,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
211,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
212,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
213,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
214,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
215,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
216,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
217,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
218,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
219,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
220,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
221,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
222,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
223,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
224,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
225,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
226,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
227,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
228,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
229,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
230,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
231,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
232,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
233,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
234,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
235,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
236,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
237,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
238,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
239,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
240,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
241,Punjab,BARNALA,Whole Year ,low,6.5,90,15,Hot-dry
242,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
243,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
244,Punjab,BARNALA,Kharif     ,low,6.5,90,15,Hot-dry
245,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
246,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
247,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
248,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
249,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
250,Punjab,BARNALA,Whole Year ,high,6.0,60,40,Hot-dry
251,Punjab,BARNALA,Kharif     ,low,6.4,90,15,Hot-dry
252,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry
253,Punjab,BARNALA,Kharif     ,low,6.5,90,15,Hot-dry
254,Punjab,BARNALA,Kharif     ,medium,6.3,80,25,Hot-dry
255,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry
256,Punjab,BARNALA,Rabi       ,low,6.0,90,15,Hot-dry
257,Punjab,BARNALA,Rabi       ,medium,6.25,80,25,Hot-dry
258,Punjab,BARNALA,Rabi       ,high,6.4,60,40,Hot-dry
259,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry
260,Punjab,BARNALA,Whole Year ,high,6.0,60,40,Hot-dry
261,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
262,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
263,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
264,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
265,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
266,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
267,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
268,Punjab,BATHINDA,Whole Year ,medium,6.0,80,25,Hot-dry
269,Punjab,BATHINDA,Whole Year ,medium,6.3,80,25,Hot-dry
270,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
271,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
272,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
273,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
274,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
275,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
276,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
277,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
278,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
279,Punjab,BATHINDA,Kharif     ,low,6.4,90,15,Hot-dry
280,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
281,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
282,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
283,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
284,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
285,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
286,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
287,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
288,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
289,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
290,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
291,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry
292,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
293,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
294,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
295,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
296,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
297,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
298,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
299,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
300,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
301,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
302,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
303,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
304,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
305,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
306,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
307,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
308,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
309,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry
310,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
311,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
312,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
313,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry
314,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
315,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
316,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
317,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
318,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
319,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
320,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
321,Punjab,BATHINDA,Whole Year ,low,6.5,90,15,Hot-dry
322,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry
323,Punjab,BATHINDA,Kharif     ,low,6.4,90,15,Hot-dry
324,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
325,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
326,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
327,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry
328,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
329,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
330,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
331,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
332,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
333,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
334,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
335,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
336,Punjab,BATHINDA,Whole Year ,low,6.5,90,15,Hot-dry
337,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry
338,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
339,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
340,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
341,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
342,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
343,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
344,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
345,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
346,Punjab,BATHINDA,Rabi       ,medium,6.25,80,25,Hot-dry
347,Punjab,BATHINDA,Rabi       ,high,6.4,60,40,Hot-dry
348,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry
349,Punjab,BATHINDA,Whole Year ,low,6.5,90,15,Hot-dry
350,Punjab,BATHINDA,Kharif     ,low,6.0,90,15,Hot-dry
351,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
352,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
353,Punjab,BATHINDA,Kharif     ,medium,6.3,80,25,Hot-dry
354,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry
355,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry
356,Punjab,BATHINDA,Kharif     ,low,6.5,90,15,Hot-dry
357,Punjab,BATHINDA,Rabi       ,low,6.0,90,15,Hot-dry
